,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time
AU_75041,Australia,75041,GRIFFITH AIRPORT AWS,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor75041_999999998752763.txt,-34.2487,146.0695,134m,115368,32.99,5min,mm,NA,-999.0,0.01, Changed LST,134.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_75041.txt,21,mm,AU_75041,2002020101,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-03-31 14:00:00+00:00,2002-01-31 15:00:00+00:00
AU_15668,Australia,15668,ORMISTON KNOLL,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15668_999999998752779.txt,-23.6521,132.7323,750m,102076,29.4,5min,mm,NA,-999.0,0.02, Changed LST,750.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15668.txt,21,mm,AU_15668,2003120821,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-07-31 14:30:00+00:00,2003-12-08 11:30:00+00:00
AU_40808,Australia,40808,CRESSBROOK DAM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40808_999999998752738.txt,-27.2641,152.1959,295m,175998,48.23,5min,mm,NA,-999.0,0.0, Changed LST,295.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40808.txt,21,mm,AU_40808,1995050319,2015060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-05-31 14:00:00+00:00,1995-05-03 09:00:00+00:00
AU_41082,Australia,41082,PITTSWORTH,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor41082_999999998752738.txt,-27.7156,151.6333,608m,62243,41.46,5min,mm,NA,-999.0,0.0, Changed LST,608.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_41082.txt,21,mm,AU_41082,1959032514,1966050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1966-04-30 14:00:00+00:00,1959-03-25 04:00:00+00:00
AU_7185,Australia,7185,PARABURDOO AERO,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor7185_999999998752773.txt,-23.1725,117.7494,423.7m,86904,37.23,5min,mm,NA,-999.0,0.01, Changed LST,423.7,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_7185.txt,21,mm,AU_7185,2005020101,2015010100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2014-12-31 16:00:00+00:00,2005-01-31 17:00:00+00:00
AU_91069,Australia,91069,MYRTLE BANK (LANOMA),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91069_999999998752777.txt,-41.2667,147.35,520m,2910,0.03,5min,mm,NA,-999.0,0.01, Changed LST,520.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91069.txt,21,mm,AU_91069,1975060119,1975100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,1975-09-30 14:00:00+00:00,1975-06-01 09:00:00+00:00
AU_39342,Australia,39342,MT YEATMAN TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39342_999999998752738.txt,-25.3911,151.76,100m,29472,5.66,5min,mm,NA,-999.0,0.0, Changed LST,100.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39342.txt,21,mm,AU_39342,1997062201,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,1997-06-21 15:00:00+00:00
AU_67035,Australia,67035,LIVERPOOL(WHITLAM CENTRE),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor67035_999999998752763.txt,-33.9272,150.9128,20m,324194,11.66,5min,mm,NA,-999.0,0.0, Changed LST,20.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_67035.txt,21,mm,AU_67035,1965010623,2002010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2001-12-31 14:00:00+00:00,1965-01-06 13:00:00+00:00
AU_50119,Australia,50119,ALECTOWN (VANVILLA),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor50119_999999998752763.txt,-32.9368,148.2447,350m,21224,32.6,5min,mm,NA,-999.0,0.01, Changed LST,350.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_50119.txt,21,mm,AU_50119,1971012817,1973070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1973-06-30 14:00:00+00:00,1971-01-28 07:00:00+00:00
AU_7080,Australia,7080,THREE RIVERS,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor7080_999999998752773.txt,-25.1256,119.1514,520m,399478,38.84,5min,mm,NA,-999.0,0.0, Changed LST,520.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_7080.txt,21,mm,AU_7080,1968100403,2014050100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2014-04-30 16:00:00+00:00,1968-10-03 19:00:00+00:00
AU_26100,Australia,26100,PADTHAWAY SOUTH,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor26100_999999998752775.txt,-36.6539,140.5212,37m,125027,13.73,5min,mm,NA,-999.0,0.01, Changed LST,37.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_26100.txt,21,mm,AU_26100,2001012414,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2001-01-24 04:30:00+00:00
AU_200283,Australia,200283,WILLIS ISLAND,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor200283_999999998752738.txt,-16.2878,149.9652,9.3m,494910,17.44,5min,mm,NA,-999.0,0.0, Changed LST,9.3,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_200283.txt,21,mm,AU_200283,1958111419,2015050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-04-30 14:00:00+00:00,1958-11-14 09:00:00+00:00
AU_14272,Australia,14272,BATCHELOR AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14272_999999998752779.txt,-13.0545,131.0252,104m,120805,23.06,5min,mm,NA,-999.0,0.01, Changed LST,104.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14272.txt,21,mm,AU_14272,2001032112,2015010100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2014-12-31 14:30:00+00:00,2001-03-21 02:30:00+00:00
